"year","annual_sales_pred","cumulative_adopters","annual_sales_real","annual_adopters"
2015,1.30821664404587,1.11702247796144,1.4,1.11702247796144
2016,1.78826309935303,2.65491841845601,1.78,1.53789594049458
2017,2.39708201413596,4.73666836457751,2.38,2.0817499461215
2018,3.13010599795229,7.49084872418135,3.16,2.75418035960383
2019,3.95012508093612,11.0263936015983,3.74,3.53554487741698
2020,4.77524999404244,15.3933101051314,4.97,4.3669165035331
2021,5.48107576679605,20.5373267718862,5.37,5.14401666675474
2022,5.9284461485467,26.2689119421565,6.08,5.73158517027034
2023,6.01380555207711,32.2725781513734,5.9,6.0036662092169
2024,5.71605685510913,38.1677214820691,5.74,5.89514333069575
2025,5.10693312476726,43.6002218358348,NA,5.43250035376563
2026,4.31683839904395,48.321226058722,NA,4.72100422288725
2027,3.48170624793937,52.2193026394546,NA,3.89807658073256
2028,2.70361354464557,55.3041933170578,NA,3.08489067760316
2029,2.03834557999522,57.6645771028288,NA,2.36038378577101
2030,1.50289493639696,59.4244229453325,NA,1.75984584250374
